seq_num,word,word_type,english_example,kashmiri_word,kashmiri_example,urdu_translation,chinese_word,chinese_example,turkish_word,turkish_example
1,abandoned,Adj,"This house has been abandoned for last ten years.
",???????? ????,??? ???? ??? ???? ??? ???? ????? ?????? ???????? ?????,?? ??? ????? ?? ????? ?? ?????? ??? ???,?,????????????,terk edilmis,Bu ev son on yildir terk edilmis durumda.
1,abduct,V,"Akbar was abducted by two gunmen.
",????? ????,???? ??? ???? ??????? ?????? ????? ???????,  ???? ?? ?? ????? ??????? ?? ???? ??? ????,?,???????????,kaçirmak,"Ekber, iki silahli kisi tarafindan kaçirildi."
1,ability,N,"He has the ability to solve complex mathematical problems.
",??????? ?????? ,????? ???? ?????? ????? ????? ????? ???? ????????? ??????,?? ????? ?? ?????? ????? ?? ?? ???? ?? ?????? ????? ???,??,??????????????,yetenek,Karmasik matematik problemlerini çözme yetenegine sahiptir.
1,able,Adj,"Akbar was able to lift the suitcase.
",??????? ?????? ??? ,?????? ????? ???? ??? ??????,  ???? ??? ??? ?????? ?? ???? ????,????,???????????,hünerli,Ekber bavulu kaldirmayi basardi.
2,able,Adj,"Akbar is the most able student in his class.
",?????? ?????? ???,???? ??? ????? ??? ????? ???? ?????? ?????? ????? ?????,  ???? ???? ???? ?? ?? ?? ???? ???? ??? ???,????,??????????????,hünerli,Akbar sinifinin en yetenekli ögrencisidir.
1,aboard,Prep,"We were already aboard ship when he arrived.
",???? ?????,???? ??? ???? ?????? ????? ???????? ????? ???? ????,?? ?? ??? ?? ?? ???? ?? ?? ???? ??? ???? ????,??,????????????,gemide,O geldiginde biz zaten gemideydik.
2,aboard,Prep,"I climbed aboard the yatch
",??? ?????,??? ??? ???? ??? ?????,??? ???? ?? ???? ?? ????,??,??????,gemide,Yata tirmandim
3,aboard,adv,"The plane crashed,killing all 150  passengers aboard.",???? ?????, ???? ???  ???? ??? ??? ???? ???? ???? ??? ??????? ??? ????,   ???? ?? ?? ???? ?? ??? ?? ??? ???? ???? 150 ????? ???? ?? ????,??,????,?? 150 ????????,gemide,Uçak düstü ve içindeki 150 yolcunun tamami öldü.
4,aboard,Prep,"Our six members were aboard the aircraft.
",???? ?????,???? ??? ???? ??? ????? ????? ???? ????,????? ?? ????? ????? ??? ???? ????,??,?????????????,gemide,Alti üyemiz uçaktaydi.
1,abode,N,i do not know his  abode,???? ???? ?????,???? ???? ??? ???? ????? ?????? ??? ???? ,???? ?? ?? ?????? ?? ??? ?????,??,????????,mesken,onun meskenini bilmiyorum
1,abort,VI,It is a crime to abort the female fetus,????????? ?????,???? ??? ????????? ???? ??? ?????,???? ??? ?? ????? ???? ??? ???,??,???????,iptal etmek,Disi fetüsü aldirmak suçtur
2,abort,VI,"Peace talks had to be aborted.
",????????? ???????,????? ??? ???? ?????? ????????? ????????,??? ??????? ?? ????? ???? ????,??,????????,iptal etmek,Baris görüsmeleri iptal edilmek zorunda kaldi.
3,abortion,N,"Some communities are against abortion.
",??????????,??????? ????? ??? ??? ???? ???? ????????? ???? ?????,??? ???????? ????? ??? ?? ???? ????,??,?????????,kürtaj,Bazi topluluklar kürtaja karsidir.
4,abortive,Adj,"Mission that proved abortive was reported in the newspaper.
","?????, ??? ????", ?? ????? ??? ????? ??????? ??? ?????? ???? ,??? ??  ????? ???? ??? ????? ??? ??? ??? ????,??,???????????????,sonuçsuz,Basarisiz oldugu anlasilan görev gazeteye yansidi.
