entry_id,seq_num,word,word_type,english_example,kashmiri_word,kashmiri_example,urdu_translation,chinese_word,chinese_example,turkish_word,turkish_example
1,1,abandoned,Adj,"This house has been abandoned for last ten years.
",???????? ????,??? ???? ??? ???? ??? ???? ????? ?????? ???????? ?????,?? ??? ????? ?? ????? ?? ?????? ??? ???,?,????????????,terk edilmis,Bu ev son on yildir terk edilmis durumda.
2,1,abduct,V,"Akbar was abducted by two gunmen.
",????? ????,???? ??? ???? ??????? ?????? ????? ???????,  ???? ?? ?? ????? ??????? ?? ???? ??? ????,?,???????????,kaçirmak,"Ekber, iki silahli kisi tarafindan kaçirildi."
3,1,ability,N,"He has the ability to solve complex mathematical problems.
",??????? ?????? ,????? ???? ?????? ????? ????? ????? ???? ????????? ??????,?? ????? ?? ?????? ????? ?? ?? ???? ?? ?????? ????? ???,??,??????????????,yetenek,Karmasik matematik problemlerini çözme yetenegine sahiptir.
4,1,able,Adj,"Akbar was able to lift the suitcase.
",??????? ?????? ??? ,?????? ????? ???? ??? ??????,  ???? ??? ??? ?????? ?? ???? ????,????,???????????,hünerli,Ekber bavulu kaldirmayi basardi.
4,2,able,Adj,"Akbar is the most able student in his class.
",?????? ?????? ???,???? ??? ????? ??? ????? ???? ?????? ?????? ????? ?????,  ???? ???? ???? ?? ?? ?? ???? ???? ??? ???,????,??????????????,hünerli,Akbar sinifinin en yetenekli ögrencisidir.
5,1,aboard,Prep,"We were already aboard ship when he arrived.
",???? ?????,???? ??? ???? ?????? ????? ???????? ????? ???? ????,?? ?? ??? ?? ?? ???? ?? ?? ???? ??? ???? ????,??,????????????,gemide,O geldiginde biz zaten gemideydik.
5,2,aboard,Prep,"I climbed aboard the yatch
",??? ?????,??? ??? ???? ??? ?????,??? ???? ?? ???? ?? ????,??,??????,gemide,Yata tirmandim
5,3,aboard,adv,"The plane crashed,killing all 150  passengers aboard.",???? ?????, ???? ???  ???? ??? ??? ???? ???? ???? ??? ??????? ??? ????,   ???? ?? ?? ???? ?? ??? ?? ??? ???? ???? 150 ????? ???? ?? ????,??,????,?? 150 ????????,gemide,Uçak düstü ve içindeki 150 yolcunun tamami öldü.
5,4,aboard,Prep,"Our six members were aboard the aircraft.
",???? ?????,???? ??? ???? ??? ????? ????? ???? ????,????? ?? ????? ????? ??? ???? ????,??,?????????????,gemide,Alti üyemiz uçaktaydi.
6,1,abode,N,i do not know his  abode,???? ???? ?????,???? ???? ??? ???? ????? ?????? ??? ???? ,???? ?? ?? ?????? ?? ??? ?????,??,????????,mesken,onun meskenini bilmiyorum
7,1,abort,VI,It is a crime to abort the female fetus,????????? ?????,???? ??? ????????? ???? ??? ?????,???? ??? ?? ????? ???? ??? ???,??,???????,iptal etmek,Disi fetüsü aldirmak suçtur
7,2,abort,VI,"Peace talks had to be aborted.
",????????? ???????,????? ??? ???? ?????? ????????? ????????,??? ??????? ?? ????? ???? ????,??,????????,iptal etmek,Baris görüsmeleri iptal edilmek zorunda kaldi.
7,3,abortion,N,"Some communities are against abortion.
",??????????,??????? ????? ??? ??? ???? ???? ????????? ???? ?????,??? ???????? ????? ??? ?? ???? ????,??,?????????,kürtaj,Bazi topluluklar kürtaja karsidir.
7,4,abortive,Adj,"Mission that proved abortive was reported in the newspaper.
","?????, ??? ????", ?? ????? ??? ????? ??????? ??? ?????? ???? ,??? ??  ????? ???? ??? ????? ??? ??? ??? ????,??,???????????????,sonuçsuz,Basarisiz oldugu anlasilan görev gazeteye yansidi.
8,1,about,Prep,"We will not talk about him.
",??????,???? ???? ??? ????? ??????? ???,?? ?? ?? ???? ??? ??? ???? ???? ???,??,????????,hakkinda,Onun hakkinda konusmayacagiz.
8,2,about,Adv,"Boys were sitting about in the park.
",?????? ??????,?????? ??? ?????? ???? ?????? ????? ?????? ,???? ???? ???  ???? ???? ????? ????,??,?????????,hakkinda,Çocuklar parkta oturuyorlardi.
8,3,about,Adv,"She is about to finish her homework.
",??? ???,?? ?? ??? ?? ???? ????? ???? ??? ??? ???????? ????,?? ???? ??? ??? ??????  ??? ???? ???? ???,??,????????,hakkinda,Ödevini bitirmek üzere.
8,4,about,Adv,"We will not complain about it any longer now.
",?????? ,??? ?????? ??? ??? ???? ???? ???????,?? ?? ???? ??? ?? ?? ????? ???? ???? ???,??,???????????,hakkinda,Artik bundan sikayet etmeyecegiz.
8,5,about,Prep,"I read a book about cricket.
",???????,??? ??? ???????? ??????? ??? ?????,??? ?? ???? ?? ???? ??? ??? ???? ?????,??,????????????,hakkinda,Kriket hakkinda bir kitap okudum.
8,6,about,Prep,"I dropped the pen somewhere about here.
",????? ???? ???,??? ????? ??? ???? ???? ????? ???? ???  ,??? ?? ??? ?? ???? ???? ??? ????,??,??????????????,hakkinda,Kalemi buralarda bir yere düsürdüm.
9,1,above,Prep,"Please fix a mirror above the wash basin.
",?????,??????? ?????? ????? ??? ?????? ????? ?????? ,???? ??? ??? ???? ?? ???? ??? ????? ???????,??,??????????????,üstünde,Lütfen lavabonun üstüne bir ayna sabitleyin.
9,2,above,Adv,"Grades B and above are considered satisfactory.
",?????,????? ?? ?? ???? ????? ??? ????? ???? ???? ??????? ,???? ?? ??? ?? ?? ???? ?? ???? ??? ????? ???? ???,??,B??????????????,üstünde,B ve üzeri notlar yeterli kabul edilir.
9,3,above,Prep,"The water rose above the danger mark.
",??????? ?????,?? ????? ???? ??? ??????? ???????,???? ???? ?? ???? ?? ???? ???? ????,??,??????????,üstünde,Su tehlike isaretinin üzerine çikti.
9,4,above,Prep,"The house has a thatched roof above.
",???????,????? ??? ??????  ????? ???,??? ?? ???? ??? ?? ??? ???,??,????????????,üstünde,Evin üstünde sazdan bir çati var.
9,5,above,Prep,"My brother lives in the flat above ours.
",?????,????? ??? ??? ???? ?????? ???? ????? ???? ?????,???? ????? ????? ???? ???? ???? ??? ???? ???,??,??????????????,üstünde,Kardesim bizim üst kattaki dairede yasiyor.
9,6,above,Adj,"Please reply at the above mentioned address.
",??????? ???,??????? ?????? ???? ?????? ???? ????? ????? ???? ????? ????,"""???? ??? ?????? ??? ?? ???? ????",??,????????,üstünde,Lütfen yukarida belirtilen adrese cevap verin.
10,1,abridged,Adj,"I read the abridged edition of Dickens`s `Oliver Twist`.
",?????? ???????????,??? ???? ??????  ????? “????? ????????“ ????? ???????,??? ?? ???? ?? '?????? ?????' ?? ????? ?????? ?????,??,???????«????»?????,kisaltilmis,Dickens'in 'Oliver Twist' kitabinin kisaltilmis baskisini okudum.
11,1,abroad,Adv,"He has relatives both in India and abroad.
",??????? ????,????? ??? ?????? ??? ??????????? ???? ??? ?????? ???? ??? ,?? ?? ???? ???  ???????? ??? ????? ??? ????? ??? ????,??,????????????,yurt disi,Hem Hindistan'da hem de yurt disinda akrabalari var.
11,2,abroad,Adv,"There is a rumour abroad about you having a love affair
",??????,?????? ???? ????? ???? ????? ????,"????? ???  ??????? ?????
 ??  ?????   ??",??,??????????,yurt disi,Yurt disinda ask iliskiniz olduguna dair bir söylenti var
12,1,abrupt,Adj,"The conversation was brought to an abrupt end.
",?????? ?????? ??? ??????,??? ???? ?????? ????? ?????,??? ??? ????? ??? ?? ????,???,??????????,ani,Konusma aniden sona erdi.
12,2,abrupt,Adj,"Everybody dislikes his abrupt manners.
",????? ,????? ?????? ????? ????? ??? ??? ??????? ??????,?? ???? ?? ?? ???? ???? ?? ?????? ???? ???,???,?????????????,ani,Onun ani tavirlarindan herkes hoslanmaz.
12,3,abrupt,Adj,It was an abrupt action.,??????,??? ?? ??? ????? ????/ ???,?? ??? ????? ???????? ????,???,??????????,ani,Ani bir eylemdi.
12,4,abruptly,Adv,"He ended his speech abruptly.
", ??????? ??????? ??? ? ????? ????? ????,????? ???? ??????? ?????? ???? ?????  ???????,?? ?? ???? ????? ????? ??? ???,??,?????????,aniden,Konusmasini aniden bitirdi.
13,1,abscond,V,"He is planning to abscond with his beloved.
",????????? ??????,??? ??? ?????? ?????? ???? ????? ????????? ??????,?? ???? ????? ?? ???? ????? ???? ?? ?????? ???? ?? ??? ???,??,?????????????,saklamak,Sevgilisiyle birlikte kaçmayi planliyor.
14,1,absence,N,"We shall not leave in his absence.
",??? ?????? ??? ????????,???? ???? ??? ???? ?????? ??? ?????  ????,?? ?? ?? ??? ??????? ??? ???? ???????,??,?????????????,yokluk,Onun yoklugunda ayrilmayacagiz.
15,1,absent,Adj,"He is always absent from the class.
",??? ????,???? ??? ?????? ????? ???? ??? ???? ????,?? ????? ???? ?? ??? ???? ???? ???,???,????????,mevcut olmayan,Sürekli sinifta yok.
